,energy,torsion_0,torsion_1
405,-46.38441201867241,215,115
406,-46.39315973300833,270,145
407,-46.346874568425704,70,10
408,-46.3654185418562,165,325
409,-46.397488998061164,285,145
410,-46.434652554435075,60,170
411,-46.35342902074328,25,120
412,-46.38581717973713,280,240
413,-46.357408716515096,135,135
414,-46.36171301911449,65,260
415,-46.39874024835248,270,225
416,-46.404739065846144,50,80
417,-46.43065436544353,160,75
418,-46.39056428165932,225,355
419,-46.33566839883596,90,260
420,-46.35517006043844,0,255
421,-46.4185561527851,255,25
422,-46.321571512870236,350,345
423,-46.40597298790797,40,70
424,-46.392685644056,350,210
425,-46.36249325807702,350,295
426,-46.41474898331549,295,310
427,-46.37949887907186,45,30
428,-46.40231417779498,45,150
429,-46.42331024034215,265,205
430,-46.340525169992844,85,15
431,-46.32329226350387,105,270
432,-46.36380105268117,355,150
433,-46.39747214609551,145,170
434,-46.40796149768394,200,15
435,-46.39459900778425,130,75
436,-46.338859488788415,350,125
437,-46.35852288239843,25,295
438,-46.403649391180835,310,155
439,-46.38604160979591,100,55
440,-46.36608500721067,45,295
441,-46.41883834327447,285,85
442,-46.33938594869804,85,325
443,-46.39192957906985,125,65
444,-46.32718197092882,30,350
445,-46.392844223807884,215,0
446,-46.40338886656522,215,155
447,-46.360354863959316,70,305
448,-46.38887216483309,55,135
449,-46.32073808173189,130,250
450,-46.382411981480146,165,140
451,-46.42705600332826,295,205
452,-46.37312047670363,245,250
453,-46.38584330040524,190,0
454,-46.34817867865863,85,310
455,-46.40694557309402,250,160
456,-46.37799185373714,320,260
457,-46.352941927077126,70,320
458,-46.43647072923406,40,190
459,-46.45771835434013,205,50
460,-46.39755568040616,25,65
461,-46.38109850319299,190,350
462,-46.433616156937006,65,170
463,-46.363503644845565,65,285
464,-46.40838352618076,50,75
465,-46.38392155265828,130,165
466,-46.394256946034744,90,210
467,-46.345924960172425,60,5
468,-46.43021574919132,270,200
469,-46.367252578361985,110,145
470,-46.384414906720025,95,50
471,-46.39506383935108,315,280
472,-46.39052359348361,320,280
473,-46.39713696454689,210,305
474,-46.435555800827814,295,175
475,-46.35295477482131,30,310
476,-46.40842085216096,305,290
477,-46.428366591240575,210,175
478,-46.35977965309624,355,280
479,-46.39856347418882,340,60
480,-46.40336398079515,315,35
481,-46.40458769970016,165,160
482,-46.43880647231643,275,45
483,-46.35317178811388,350,100
484,-46.35050056918905,335,15
485,-46.35763378960954,355,270
486,-46.37328597455806,30,140
487,-46.41792642847881,230,170
488,-46.43104686215017,35,195
489,-46.40974598650982,200,215
490,-46.42580977542579,175,35
491,-46.38288722565525,310,140
492,-46.32342699631042,130,245
493,-46.33566840394977,90,15
494,-46.425747081047035,205,90
495,-46.34689319366461,150,240
496,-46.36267293687965,315,0
497,-46.38526131173464,295,135
498,-46.44085214573133,170,50
499,-46.39603825613332,130,70
500,-46.372306460086946,225,260
501,-46.385803590919664,300,10
502,-46.39514173787464,35,80
503,-46.40448682736158,355,195
504,-46.36335913022478,330,20
505,-46.42049133494933,40,165
506,-46.37731446427162,225,130
507,-46.35623850238355,115,115
508,-46.33374889340993,150,355
509,-46.362213529760226,145,130
510,-46.32702513134885,135,245
511,-46.332944196797115,135,320
512,-46.40834235205787,85,160
513,-46.36790449988703,175,345
514,-46.37072237907617,65,25
515,-46.44027648197809,175,80
516,-46.436405388047405,200,85
517,-46.39857001897079,0,205
518,-46.410407214994876,320,75
519,-46.393476227359,195,315
520,-46.38093859495703,350,220
521,-46.426081732239226,300,75
522,-46.37867890180715,265,255
523,-46.40094462293749,285,15
524,-46.434493513997694,205,85
525,-46.36114632716718,345,265
526,-46.38470365837017,325,30
527,-46.4417936556828,275,50
528,-46.45462458209536,220,60
529,-46.4083288961734,295,320
530,-46.353820963490676,25,305
531,-46.38245996267969,300,345
532,-46.35774749896419,335,20
533,-46.364076668985405,10,240
534,-46.38012521968889,245,140
535,-46.435253238227205,195,180
536,-46.39604889623817,285,10
537,-46.36676092975384,160,295
538,-46.32415843760069,345,350
539,-46.392230814622536,15,60
540,-46.380937364378184,180,325
541,-46.40564175426172,265,155
542,-46.35578022964896,55,320
543,-46.43250996493967,210,190
544,-46.424060784158456,315,175
545,-46.429322299543486,80,185
546,-46.40643440942384,100,180
547,-46.42007279138781,240,25
548,-46.39201478352001,320,90
549,-46.37764798445599,160,225
550,-46.440371204352886,260,45
551,-46.43229807280906,215,30
552,-46.32491472645242,120,320
553,-46.37051984823867,0,85
554,-46.44234353254271,220,75
555,-46.342412591917224,345,115
556,-46.42366865468651,220,25
557,-46.39956102518303,225,315
558,-46.391139075632594,210,225
559,-46.4533388735467,220,50
560,-46.39250096305389,85,50
561,-46.37896739417809,50,125
562,-46.345861411763934,355,105
563,-46.39671324871594,215,320
564,-46.38206081091343,70,120
565,-46.40148923019743,15,210
